Accession,Description,trt,measurement
AT2G36170,| Symbols:  | Ubiquitin supergroup;Ribosomal protein L40e | chr2:15172153-15173046 FORWARD LENGTH=128,6,17
AT2G36460,| Symbols:  | Aldolase superfamily protein | chr2:15296929-15298387 REVERSE LENGTH=358,2,182.532
AT2G36460,| Symbols:  | Aldolase superfamily protein | chr2:15296929-15298387 REVERSE LENGTH=358,2,195.447
AT2G36460,| Symbols:  | Aldolase superfamily protein | chr2:15296929-15298387 REVERSE LENGTH=358,2,173.922
AT2G36460,| Symbols:  | Aldolase superfamily protein | chr2:15296929-15298387 REVERSE LENGTH=358,6,156
AT2G36460,| Symbols:  | Aldolase superfamily protein | chr2:15296929-15298387 REVERSE LENGTH=358,6,161
AT2G36460,| Symbols:  | Aldolase superfamily protein | chr2:15296929-15298387 REVERSE LENGTH=358,6,154
AT2G36530,| Symbols: LOS2  ENO2 | Enolase | chr2:15321081-15323786 REVERSE LENGTH=444,2,183.393
AT2G36530,| Symbols: LOS2  ENO2 | Enolase | chr2:15321081-15323786 REVERSE LENGTH=444,2,224.721
AT2G36530,| Symbols: LOS2  ENO2 | Enolase | chr2:15321081-15323786 REVERSE LENGTH=444,2,174.783
AT2G36530,| Symbols: LOS2  ENO2 | Enolase | chr2:15321081-15323786 REVERSE LENGTH=444,6,133
AT2G36530,| Symbols: LOS2  ENO2 | Enolase | chr2:15321081-15323786 REVERSE LENGTH=444,6,147
AT2G36530,| Symbols: LOS2  ENO2 | Enolase | chr2:15321081-15323786 REVERSE LENGTH=444,6,138
AT2G36580,| Symbols:  | Pyruvate kinase family protein | chr2:15339253-15342781 FORWARD LENGTH=527,2,30.996
AT2G36580,| Symbols:  | Pyruvate kinase family protein | chr2:15339253-15342781 FORWARD LENGTH=527,2,37.884
AT2G36580,| Symbols:  | Pyruvate kinase family protein | chr2:15339253-15342781 FORWARD LENGTH=527,2,34.44
AT2G36580,| Symbols:  | Pyruvate kinase family protein | chr2:15339253-15342781 FORWARD LENGTH=527,6,28
AT2G36580,| Symbols:  | Pyruvate kinase family protein | chr2:15339253-15342781 FORWARD LENGTH=527,6,29
AT2G36580,| Symbols:  | Pyruvate kinase family protein | chr2:15339253-15342781 FORWARD LENGTH=527,6,35
AT2G36640,| Symbols: ATECP63  ECP63 | embryonic cell protein 63 | chr2:15357019-15358552 REVERSE LENGTH=448,2,118.818
AT2G36640,| Symbols: ATECP63  ECP63 | embryonic cell protein 63 | chr2:15357019-15358552 REVERSE LENGTH=448,2,117.957
AT2G36640,| Symbols: ATECP63  ECP63 | embryonic cell protein 63 | chr2:15357019-15358552 REVERSE LENGTH=448,2,110.208
AT2G36640,| Symbols: ATECP63  ECP63 | embryonic cell protein 63 | chr2:15357019-15358552 REVERSE LENGTH=448,6,81
AT2G36640,| Symbols: ATECP63  ECP63 | embryonic cell protein 63 | chr2:15357019-15358552 REVERSE LENGTH=448,6,82
AT2G36640,| Symbols: ATECP63  ECP63 | embryonic cell protein 63 | chr2:15357019-15358552 REVERSE LENGTH=448,6,82
AT2G36880,| Symbols: MAT3 | methionine adenosyltransferase 3 | chr2:15479721-15480893 REVERSE LENGTH=390,2,18.081
AT2G36880,| Symbols: MAT3 | methionine adenosyltransferase 3 | chr2:15479721-15480893 REVERSE LENGTH=390,2,17.22
AT2G36880,| Symbols: MAT3 | methionine adenosyltransferase 3 | chr2:15479721-15480893 REVERSE LENGTH=390,2,15.498
AT2G36880,| Symbols: MAT3 | methionine adenosyltransferase 3 | chr2:15479721-15480893 REVERSE LENGTH=390,6,16
AT2G36880,| Symbols: MAT3 | methionine adenosyltransferase 3 | chr2:15479721-15480893 REVERSE LENGTH=390,6,16
AT2G36880,| Symbols: MAT3 | methionine adenosyltransferase 3 | chr2:15479721-15480893 REVERSE LENGTH=390,6,13
AT2G37020,| Symbols:  | Translin family protein | chr2:15546514-15548792 FORWARD LENGTH=308,2,7.749
AT2G37020,| Symbols:  | Translin family protein | chr2:15546514-15548792 FORWARD LENGTH=308,2,7.749
AT2G37020,| Symbols:  | Translin family protein | chr2:15546514-15548792 FORWARD LENGTH=308,2,5.166
AT2G37020,| Symbols:  | Translin family protein | chr2:15546514-15548792 FORWARD LENGTH=308,6,7
AT2G37020,| Symbols:  | Translin family protein | chr2:15546514-15548792 FORWARD LENGTH=308,6,6
AT2G37020,| Symbols:  | Translin family protein | chr2:15546514-15548792 FORWARD LENGTH=308,6,10
AT2G37190,| Symbols:  | Ribosomal protein L11 family protein | chr2:15619559-15620059 REVERSE LENGTH=166,2,30.135
AT2G37190,| Symbols:  | Ribosomal protein L11 family protein | chr2:15619559-15620059 REVERSE LENGTH=166,2,24.969
AT2G37190,| Symbols:  | Ribosomal protein L11 family protein | chr2:15619559-15620059 REVERSE LENGTH=166,2,21.525
AT2G37190,| Symbols:  | Ribosomal protein L11 family protein | chr2:15619559-15620059 REVERSE LENGTH=166,6,17
AT2G37190,| Symbols:  | Ribosomal protein L11 family protein | chr2:15619559-15620059 REVERSE LENGTH=166,6,21
AT2G37190,| Symbols:  | Ribosomal protein L11 family protein | chr2:15619559-15620059 REVERSE LENGTH=166,6,24
AT2G37220,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:15634980-15636331 REVERSE LENGTH=289,2,15.498
AT2G37220,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:15634980-15636331 REVERSE LENGTH=289,2,16.359
AT2G37220,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:15634980-15636331 REVERSE LENGTH=289,2,16.359
AT2G37220,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:15634980-15636331 REVERSE LENGTH=289,6,8
AT2G37220,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:15634980-15636331 REVERSE LENGTH=289,6,13
AT2G37220,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:15634980-15636331 REVERSE LENGTH=289,6,12
AT2G37270,| Symbols: ATRPS5B  RPS5B | ribosomal protein 5B | chr2:15647883-15649042 REVERSE LENGTH=207,2,50.799
AT2G37270,| Symbols: ATRPS5B  RPS5B | ribosomal protein 5B | chr2:15647883-15649042 REVERSE LENGTH=207,2,59.409
AT2G37270,| Symbols: ATRPS5B  RPS5B | ribosomal protein 5B | chr2:15647883-15649042 REVERSE LENGTH=207,2,46.494
AT2G37270,| Symbols: ATRPS5B  RPS5B | ribosomal protein 5B | chr2:15647883-15649042 REVERSE LENGTH=207,6,45
AT2G37270,| Symbols: ATRPS5B  RPS5B | ribosomal protein 5B | chr2:15647883-15649042 REVERSE LENGTH=207,6,50
AT2G37270,| Symbols: ATRPS5B  RPS5B | ribosomal protein 5B | chr2:15647883-15649042 REVERSE LENGTH=207,6,40
AT2G37620,| Symbols: ACT1  AAc1 | actin 1 | chr2:15779761-15781241 FORWARD LENGTH=377,2,86.1
AT2G37620,| Symbols: ACT1  AAc1 | actin 1 | chr2:15779761-15781241 FORWARD LENGTH=377,2,78.351
AT2G37620,| Symbols: ACT1  AAc1 | actin 1 | chr2:15779761-15781241 FORWARD LENGTH=377,2,82.656
AT2G37620,| Symbols: ACT1  AAc1 | actin 1 | chr2:15779761-15781241 FORWARD LENGTH=377,6,66
AT2G37620,| Symbols: ACT1  AAc1 | actin 1 | chr2:15779761-15781241 FORWARD LENGTH=377,6,71
AT2G37620,| Symbols: ACT1  AAc1 | actin 1 | chr2:15779761-15781241 FORWARD LENGTH=377,6,69
AT2G37660,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325,2,43.05
AT2G37660,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325,2,43.911
AT2G37660,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325,2,40.467
AT2G37660,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325,6,30
AT2G37660,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325,6,32
AT2G37660,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325,6,28
AT2G37790,| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15838838-15840752 FORWARD LENGTH=314,2,9.471
AT2G37790,| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15838838-15840752 FORWARD LENGTH=314,2,10.332
AT2G37790,| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15838838-15840752 FORWARD LENGTH=314,2,6.888
AT2G37790,| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15838838-15840752 FORWARD LENGTH=314,6,5
AT2G37790,| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15838838-15840752 FORWARD LENGTH=314,6,6
AT2G37790,| Symbols:  | NAD(P)-linked oxidoreductase superfamily protein | chr2:15838838-15840752 FORWARD LENGTH=314,6,4
AT2G38040,| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769,2,61.992
AT2G38040,| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769,2,74.046
AT2G38040,| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769,2,47.355
AT2G38040,| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769,6,22
AT2G38040,| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769,6,18
AT2G38040,| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769,6,31
AT2G38270,| Symbols: CXIP2  ATGRX2 | CAX-interacting protein 2 | chr2:16031347-16033054 REVERSE LENGTH=293,2,8.61
AT2G38270,| Symbols: CXIP2  ATGRX2 | CAX-interacting protein 2 | chr2:16031347-16033054 REVERSE LENGTH=293,2,6.027
AT2G38270,| Symbols: CXIP2  ATGRX2 | CAX-interacting protein 2 | chr2:16031347-16033054 REVERSE LENGTH=293,2,8.61
AT2G38270,| Symbols: CXIP2  ATGRX2 | CAX-interacting protein 2 | chr2:16031347-16033054 REVERSE LENGTH=293,6,11
AT2G38270,| Symbols: CXIP2  ATGRX2 | CAX-interacting protein 2 | chr2:16031347-16033054 REVERSE LENGTH=293,6,10
AT2G38270,| Symbols: CXIP2  ATGRX2 | CAX-interacting protein 2 | chr2:16031347-16033054 REVERSE LENGTH=293,6,8
AT2G38380,| Symbols:  | Peroxidase superfamily protein | chr2:16076443-16078314 FORWARD LENGTH=349,2,12.915
AT2G38380,| Symbols:  | Peroxidase superfamily protein | chr2:16076443-16078314 FORWARD LENGTH=349,2,10.332
AT2G38380,| Symbols:  | Peroxidase superfamily protein | chr2:16076443-16078314 FORWARD LENGTH=349,2,11.193
AT2G38380,| Symbols:  | Peroxidase superfamily protein | chr2:16076443-16078314 FORWARD LENGTH=349,6,11
AT2G38380,| Symbols:  | Peroxidase superfamily protein | chr2:16076443-16078314 FORWARD LENGTH=349,6,12
AT2G38380,| Symbols:  | Peroxidase superfamily protein | chr2:16076443-16078314 FORWARD LENGTH=349,6,15
AT2G38410,| Symbols:  | ENTH/VHS/GAT family protein | chr2:16086912-16090047 REVERSE LENGTH=671,2,6.027
AT2G38410,| Symbols:  | ENTH/VHS/GAT family protein | chr2:16086912-16090047 REVERSE LENGTH=671,2,8.61
AT2G38410,| Symbols:  | ENTH/VHS/GAT family protein | chr2:16086912-16090047 REVERSE LENGTH=671,2,6.888
AT2G38410,| Symbols:  | ENTH/VHS/GAT family protein | chr2:16086912-16090047 REVERSE LENGTH=671,6,5
AT2G38410,| Symbols:  | ENTH/VHS/GAT family protein | chr2:16086912-16090047 REVERSE LENGTH=671,6,5
AT2G38410,| Symbols:  | ENTH/VHS/GAT family protein | chr2:16086912-16090047 REVERSE LENGTH=671,6,7
AT2G38530,| Symbols: LTP2  LP2  cdf3 | lipid transfer protein 2 | chr2:16128481-16128948 FORWARD LENGTH=118,2,41.328
AT2G38530,| Symbols: LTP2  LP2  cdf3 | lipid transfer protein 2 | chr2:16128481-16128948 FORWARD LENGTH=118,2,38.745
AT2G38530,| Symbols: LTP2  LP2  cdf3 | lipid transfer protein 2 | chr2:16128481-16128948 FORWARD LENGTH=118,2,41.328
AT2G38530,| Symbols: LTP2  LP2  cdf3 | lipid transfer protein 2 | chr2:16128481-16128948 FORWARD LENGTH=118,6,76
AT2G38530,| Symbols: LTP2  LP2  cdf3 | lipid transfer protein 2 | chr2:16128481-16128948 FORWARD LENGTH=118,6,63
AT2G38530,| Symbols: LTP2  LP2  cdf3 | lipid transfer protein 2 | chr2:16128481-16128948 FORWARD LENGTH=118,6,70
AT2G38550,| Symbols:  | Transmembrane proteins 14C | chr2:16132178-16134229 FORWARD LENGTH=335,2,17.22
AT2G38550,| Symbols:  | Transmembrane proteins 14C | chr2:16132178-16134229 FORWARD LENGTH=335,2,16.359
AT2G38550,| Symbols:  | Transmembrane proteins 14C | chr2:16132178-16134229 FORWARD LENGTH=335,2,12.915
AT2G38550,| Symbols:  | Transmembrane proteins 14C | chr2:16132178-16134229 FORWARD LENGTH=335,6,11
AT2G38550,| Symbols:  | Transmembrane proteins 14C | chr2:16132178-16134229 FORWARD LENGTH=335,6,13
AT2G38550,| Symbols:  | Transmembrane proteins 14C | chr2:16132178-16134229 FORWARD LENGTH=335,6,8
AT2G38700,| Symbols: MVD1  ATMVD1 | mevalonate diphosphate decarboxylase 1 | chr2:16180918-16183785 REVERSE LENGTH=412,2,20.664
AT2G38700,| Symbols: MVD1  ATMVD1 | mevalonate diphosphate decarboxylase 1 | chr2:16180918-16183785 REVERSE LENGTH=412,2,21.525
AT2G38700,| Symbols: MVD1  ATMVD1 | mevalonate diphosphate decarboxylase 1 | chr2:16180918-16183785 REVERSE LENGTH=412,2,18.081
AT2G38700,| Symbols: MVD1  ATMVD1 | mevalonate diphosphate decarboxylase 1 | chr2:16180918-16183785 REVERSE LENGTH=412,6,14
AT2G38700,| Symbols: MVD1  ATMVD1 | mevalonate diphosphate decarboxylase 1 | chr2:16180918-16183785 REVERSE LENGTH=412,6,19
AT2G38700,| Symbols: MVD1  ATMVD1 | mevalonate diphosphate decarboxylase 1 | chr2:16180918-16183785 REVERSE LENGTH=412,6,16
AT2G39390,| Symbols:  | Ribosomal L29 family protein  | chr2:16450803-16451762 REVERSE LENGTH=123,2,4.305
AT2G39390,| Symbols:  | Ribosomal L29 family protein  | chr2:16450803-16451762 REVERSE LENGTH=123,2,5.166
AT2G39390,| Symbols:  | Ribosomal L29 family protein  | chr2:16450803-16451762 REVERSE LENGTH=123,2,6.888
AT2G39390,| Symbols:  | Ribosomal L29 family protein  | chr2:16450803-16451762 REVERSE LENGTH=123,6,4
AT2G39390,| Symbols:  | Ribosomal L29 family protein  | chr2:16450803-16451762 REVERSE LENGTH=123,6,6
AT2G39390,| Symbols:  | Ribosomal L29 family protein  | chr2:16450803-16451762 REVERSE LENGTH=123,6,5
AT2G39460,| Symbols: ATRPL23A  RPL23A  RPL23AA | ribosomal protein L23AA | chr2:16475049-16475904 FORWARD LENGTH=154,2,21.525
AT2G39460,| Symbols: ATRPL23A  RPL23A  RPL23AA | ribosomal protein L23AA | chr2:16475049-16475904 FORWARD LENGTH=154,2,18.081
AT2G39460,| Symbols: ATRPL23A  RPL23A  RPL23AA | ribosomal protein L23AA | chr2:16475049-16475904 FORWARD LENGTH=154,2,18.942
AT2G39460,| Symbols: ATRPL23A  RPL23A  RPL23AA | ribosomal protein L23AA | chr2:16475049-16475904 FORWARD LENGTH=154,6,15
AT2G39460,| Symbols: ATRPL23A  RPL23A  RPL23AA | ribosomal protein L23AA | chr2:16475049-16475904 FORWARD LENGTH=154,6,21
AT2G39460,| Symbols: ATRPL23A  RPL23A  RPL23AA | ribosomal protein L23AA | chr2:16475049-16475904 FORWARD LENGTH=154,6,15
AT2G39590,| Symbols:  | Ribosomal protein S8 family protein | chr2:16517588-16518265 REVERSE LENGTH=136,2,8.61
AT2G39590,| Symbols:  | Ribosomal protein S8 family protein | chr2:16517588-16518265 REVERSE LENGTH=136,2,7.749
AT2G39590,| Symbols:  | Ribosomal protein S8 family protein | chr2:16517588-16518265 REVERSE LENGTH=136,2,12.054
AT2G39590,| Symbols:  | Ribosomal protein S8 family protein | chr2:16517588-16518265 REVERSE LENGTH=136,6,7
AT2G39590,| Symbols:  | Ribosomal protein S8 family protein | chr2:16517588-16518265 REVERSE LENGTH=136,6,6
AT2G39590,| Symbols:  | Ribosomal protein S8 family protein | chr2:16517588-16518265 REVERSE LENGTH=136,6,4
AT2G39730,| Symbols: RCA | rubisco activase | chr2:16571046-16573345 REVERSE LENGTH=446,2,48.216
AT2G39730,| Symbols: RCA | rubisco activase | chr2:16571046-16573345 REVERSE LENGTH=446,2,48.216
AT2G39730,| Symbols: RCA | rubisco activase | chr2:16571046-16573345 REVERSE LENGTH=446,2,52.521
AT2G39730,| Symbols: RCA | rubisco activase | chr2:16571046-16573345 REVERSE LENGTH=446,6,15
AT2G39730,| Symbols: RCA | rubisco activase | chr2:16571046-16573345 REVERSE LENGTH=446,6,21
AT2G39730,| Symbols: RCA | rubisco activase | chr2:16571046-16573345 REVERSE LENGTH=446,6,16
AT2G39780,| Symbols: RNS2 | ribonuclease 2 | chr2:16591256-16593515 FORWARD LENGTH=259,2,6.027
AT2G39780,| Symbols: RNS2 | ribonuclease 2 | chr2:16591256-16593515 FORWARD LENGTH=259,2,7.749
AT2G39780,| Symbols: RNS2 | ribonuclease 2 | chr2:16591256-16593515 FORWARD LENGTH=259,2,8.61
AT2G39780,| Symbols: RNS2 | ribonuclease 2 | chr2:16591256-16593515 FORWARD LENGTH=259,6,11
AT2G39780,| Symbols: RNS2 | ribonuclease 2 | chr2:16591256-16593515 FORWARD LENGTH=259,6,9
AT2G39780,| Symbols: RNS2 | ribonuclease 2 | chr2:16591256-16593515 FORWARD LENGTH=259,6,10
AT2G39990,| Symbols: EIF2  AteIF3f  eIF3F | eukaryotic translation initiation factor 2 | chr2:16698332-16699929 REVERSE LENGTH=293,2,18.942
AT2G39990,| Symbols: EIF2  AteIF3f  eIF3F | eukaryotic translation initiation factor 2 | chr2:16698332-16699929 REVERSE LENGTH=293,2,19.803
AT2G39990,| Symbols: EIF2  AteIF3f  eIF3F | eukaryotic translation initiation factor 2 | chr2:16698332-16699929 REVERSE LENGTH=293,2,26.691
AT2G39990,| Symbols: EIF2  AteIF3f  eIF3F | eukaryotic translation initiation factor 2 | chr2:16698332-16699929 REVERSE LENGTH=293,6,14
AT2G39990,| Symbols: EIF2  AteIF3f  eIF3F | eukaryotic translation initiation factor 2 | chr2:16698332-16699929 REVERSE LENGTH=293,6,16
AT2G39990,| Symbols: EIF2  AteIF3f  eIF3F | eukaryotic translation initiation factor 2 | chr2:16698332-16699929 REVERSE LENGTH=293,6,18
AT2G40010,| Symbols:  | Ribosomal protein L10 family protein | chr2:16708578-16710448 REVERSE LENGTH=317,2,22.386
AT2G40010,| Symbols:  | Ribosomal protein L10 family protein | chr2:16708578-16710448 REVERSE LENGTH=317,2,23.247
AT2G40010,| Symbols:  | Ribosomal protein L10 family protein | chr2:16708578-16710448 REVERSE LENGTH=317,2,22.386
AT2G40010,| Symbols:  | Ribosomal protein L10 family protein | chr2:16708578-16710448 REVERSE LENGTH=317,6,22
AT2G40010,| Symbols:  | Ribosomal protein L10 family protein | chr2:16708578-16710448 REVERSE LENGTH=317,6,29
AT2G40010,| Symbols:  | Ribosomal protein L10 family protein | chr2:16708578-16710448 REVERSE LENGTH=317,6,20
AT2G40170,| Symbols: ATEM6  GEA6  EM6 | Stress induced protein | chr2:16779792-16780167 REVERSE LENGTH=92,2,58.548
AT2G40170,| Symbols: ATEM6  GEA6  EM6 | Stress induced protein | chr2:16779792-16780167 REVERSE LENGTH=92,2,47.355
AT2G40170,| Symbols: ATEM6  GEA6  EM6 | Stress induced protein | chr2:16779792-16780167 REVERSE LENGTH=92,2,60.27
AT2G40170,| Symbols: ATEM6  GEA6  EM6 | Stress induced protein | chr2:16779792-16780167 REVERSE LENGTH=92,6,87
AT2G40170,| Symbols: ATEM6  GEA6  EM6 | Stress induced protein | chr2:16779792-16780167 REVERSE LENGTH=92,6,89
AT2G40170,| Symbols: ATEM6  GEA6  EM6 | Stress induced protein | chr2:16779792-16780167 REVERSE LENGTH=92,6,74
AT2G40290,| Symbols:  | Eukaryotic translation initiation factor 2 subunit 1 | chr2:16829030-16830889 REVERSE LENGTH=344,2,11.193
AT2G40290,| Symbols:  | Eukaryotic translation initiation factor 2 subunit 1 | chr2:16829030-16830889 REVERSE LENGTH=344,2,14.637
AT2G40290,| Symbols:  | Eukaryotic translation initiation factor 2 subunit 1 | chr2:16829030-16830889 REVERSE LENGTH=344,2,14.637
AT2G40290,| Symbols:  | Eukaryotic translation initiation factor 2 subunit 1 | chr2:16829030-16830889 REVERSE LENGTH=344,6,4
AT2G40290,| Symbols:  | Eukaryotic translation initiation factor 2 subunit 1 | chr2:16829030-16830889 REVERSE LENGTH=344,6,7
AT2G40290,| Symbols:  | Eukaryotic translation initiation factor 2 subunit 1 | chr2:16829030-16830889 REVERSE LENGTH=344,6,5
AT2G40510,| Symbols:  | Ribosomal protein S26e family protein | chr2:16918506-16919623 FORWARD LENGTH=133,2,16.359
AT2G40510,| Symbols:  | Ribosomal protein S26e family protein | chr2:16918506-16919623 FORWARD LENGTH=133,2,19.803
AT2G40510,| Symbols:  | Ribosomal protein S26e family protein | chr2:16918506-16919623 FORWARD LENGTH=133,2,18.942
AT2G40510,| Symbols:  | Ribosomal protein S26e family protein | chr2:16918506-16919623 FORWARD LENGTH=133,6,14
AT2G40510,| Symbols:  | Ribosomal protein S26e family protein | chr2:16918506-16919623 FORWARD LENGTH=133,6,19
AT2G40510,| Symbols:  | Ribosomal protein S26e family protein | chr2:16918506-16919623 FORWARD LENGTH=133,6,11
AT2G40590,| Symbols:  | Ribosomal protein S26e family protein | chr2:16945215-16946345 REVERSE LENGTH=131,2,16.359
AT2G40590,| Symbols:  | Ribosomal protein S26e family protein | chr2:16945215-16946345 REVERSE LENGTH=131,2,18.081
AT2G40590,| Symbols:  | Ribosomal protein S26e family protein | chr2:16945215-16946345 REVERSE LENGTH=131,2,18.081
AT2G40590,| Symbols:  | Ribosomal protein S26e family protein | chr2:16945215-16946345 REVERSE LENGTH=131,6,13
AT2G40590,| Symbols:  | Ribosomal protein S26e family protein | chr2:16945215-16946345 REVERSE LENGTH=131,6,18
AT2G40590,| Symbols:  | Ribosomal protein S26e family protein | chr2:16945215-16946345 REVERSE LENGTH=131,6,11
AT2G40840,| Symbols: DPE2 | disproportionating enzyme 2 | chr2:17045368-17050779 FORWARD LENGTH=955,2,12.915
AT2G40840,| Symbols: DPE2 | disproportionating enzyme 2 | chr2:17045368-17050779 FORWARD LENGTH=955,2,13.776
AT2G40840,| Symbols: DPE2 | disproportionating enzyme 2 | chr2:17045368-17050779 FORWARD LENGTH=955,2,9.471
AT2G40840,| Symbols: DPE2 | disproportionating enzyme 2 | chr2:17045368-17050779 FORWARD LENGTH=955,6,9
AT2G40840,| Symbols: DPE2 | disproportionating enzyme 2 | chr2:17045368-17050779 FORWARD LENGTH=955,6,12
AT2G40840,| Symbols: DPE2 | disproportionating enzyme 2 | chr2:17045368-17050779 FORWARD LENGTH=955,6,10
AT2G41110,| Symbols: CAM2  ATCAL5 | calmodulin 2 | chr2:17140379-17141192 FORWARD LENGTH=149,2,12.054
AT2G41110,| Symbols: CAM2  ATCAL5 | calmodulin 2 | chr2:17140379-17141192 FORWARD LENGTH=149,2,14.637
AT2G41110,| Symbols: CAM2  ATCAL5 | calmodulin 2 | chr2:17140379-17141192 FORWARD LENGTH=149,2,12.915
AT2G41110,| Symbols: CAM2  ATCAL5 | calmodulin 2 | chr2:17140379-17141192 FORWARD LENGTH=149,6,21
AT2G41110,| Symbols: CAM2  ATCAL5 | calmodulin 2 | chr2:17140379-17141192 FORWARD LENGTH=149,6,19
AT2G41110,| Symbols: CAM2  ATCAL5 | calmodulin 2 | chr2:17140379-17141192 FORWARD LENGTH=149,6,18
AT2G41220,| Symbols: GLU2 | glutamate synthase 2 | chr2:17177934-17188388 FORWARD LENGTH=1629,2,23.247
AT2G41220,| Symbols: GLU2 | glutamate synthase 2 | chr2:17177934-17188388 FORWARD LENGTH=1629,2,23.247
AT2G41220,| Symbols: GLU2 | glutamate synthase 2 | chr2:17177934-17188388 FORWARD LENGTH=1629,2,17.22
AT2G41220,| Symbols: GLU2 | glutamate synthase 2 | chr2:17177934-17188388 FORWARD LENGTH=1629,6,21
AT2G41220,| Symbols: GLU2 | glutamate synthase 2 | chr2:17177934-17188388 FORWARD LENGTH=1629,6,21
AT2G41220,| Symbols: GLU2 | glutamate synthase 2 | chr2:17177934-17188388 FORWARD LENGTH=1629,6,20
AT2G41260,| Symbols: M17  ATM17 | glycine-rich protein / late embryogenesis abundant protein (M17) | chr2:17206541-17207492 FORWARD LENGTH=225,2,45.633
AT2G41260,| Symbols: M17  ATM17 | glycine-rich protein / late embryogenesis abundant protein (M17) | chr2:17206541-17207492 FORWARD LENGTH=225,2,67.158
AT2G41260,| Symbols: M17  ATM17 | glycine-rich protein / late embryogenesis abundant protein (M17) | chr2:17206541-17207492 FORWARD LENGTH=225,2,47.355
AT2G41260,| Symbols: M17  ATM17 | glycine-rich protein / late embryogenesis abundant protein (M17) | chr2:17206541-17207492 FORWARD LENGTH=225,6,8
AT2G41260,| Symbols: M17  ATM17 | glycine-rich protein / late embryogenesis abundant protein (M17) | chr2:17206541-17207492 FORWARD LENGTH=225,6,10
AT2G41260,| Symbols: M17  ATM17 | glycine-rich protein / late embryogenesis abundant protein (M17) | chr2:17206541-17207492 FORWARD LENGTH=225,6,9
AT2G41280,| Symbols: M10  ATM10 | late embryogenesis abundant protein (M10) / LEA protein M10 | chr2:17209763-17210211 FORWARD LENGTH=107,2,15.498
AT2G41280,| Symbols: M10  ATM10 | late embryogenesis abundant protein (M10) / LEA protein M10 | chr2:17209763-17210211 FORWARD LENGTH=107,2,12.915
AT2G41280,| Symbols: M10  ATM10 | late embryogenesis abundant protein (M10) / LEA protein M10 | chr2:17209763-17210211 FORWARD LENGTH=107,2,18.081
AT2G41280,| Symbols: M10  ATM10 | late embryogenesis abundant protein (M10) / LEA protein M10 | chr2:17209763-17210211 FORWARD LENGTH=107,6,16
AT2G41280,| Symbols: M10  ATM10 | late embryogenesis abundant protein (M10) / LEA protein M10 | chr2:17209763-17210211 FORWARD LENGTH=107,6,15
AT2G41280,| Symbols: M10  ATM10 | late embryogenesis abundant protein (M10) / LEA protein M10 | chr2:17209763-17210211 FORWARD LENGTH=107,6,18
AT2G41530,| Symbols: ATSFGH  SFGH | S-formylglutathione hydrolase | chr2:17323656-17325430 REVERSE LENGTH=284,2,18.942
AT2G41530,| Symbols: ATSFGH  SFGH | S-formylglutathione hydrolase | chr2:17323656-17325430 REVERSE LENGTH=284,2,24.969
AT2G41530,| Symbols: ATSFGH  SFGH | S-formylglutathione hydrolase | chr2:17323656-17325430 REVERSE LENGTH=284,2,27.552
AT2G41530,| Symbols: ATSFGH  SFGH | S-formylglutathione hydrolase | chr2:17323656-17325430 REVERSE LENGTH=284,6,16
